uid, timestamp, level
cgs_4de1902758d6f, 0, 1
cgs_4de32b905802d, 0, 2
cgs_4de294c165ca0, 0, 3
cgs_4de294c165ca0, 0, 2
cgs_4de28d2029715, 0, 2
cgs_4de1592bc24b5, 0, 2
cgs_4de1592bc24b5, 0, 1
cgs_4ddd67bfad23d, 0, 3
cgs_4ddd67bfad23d, 0, 2
cgs_4ddb3a17508d0, 0, 2
cgs_4dce36741f171, 0, 2
cgs_4dd974d7a48e7, 0, 1
cgs_4ddae3a3ea304, 0, 2
cgs_4ddc1daa9898e, 0, 1
cgs_4ddc0ca8c99c4, 0, 3
cgs_4ddae3a3ea304, 0, 1
cgs_4dce36741f171, 0, 1
cgs_4ddb3a17508d0, 0, 1
cgs_4ddb6cd6ee08f, 0, 1
cgs_4dd9fee41fb53, 0, 2
cgs_4ddac9f8c16e4, 0, 3
cgs_4dd9fee41fb53, 0, 1
cgs_4dda9f532e3cf, 0, 3
cgs_4dda9f532e3cf, 0, 2
cgs_4ddac9f8c16e4, 0, 2
cgs_4dda9f532e3cf, 0, 1
cgs_4ddac9f8c16e4, 0, 1
cgs_4ddb10ff77f3c, 0, 3
cgs_4ddb10ff77f3c, 0, 2
cgs_4dda85fb3fe4c, 0, 3
cgs_4ddb10ff77f3c, 0, 1
cgs_4ddafad4ac712, 0, 3
cgs_4ddaf472aa225, 0, 3
cgs_4ddafad4ac712, 0, 2
cgs_4ddafad4ac712, 0, 1
cgs_4ddaf472aa225, 0, 2
cgs_4ddaf472aa225, 0, 1
cgs_4dcc9522172c1, 0, 2
cgs_4ddae7ba08607, 0, 3
cgs_4ddae7ba08607, 0, 2
cgs_4ddae7ba08607, 0, 1
cgs_4dda85fb3fe4c, 0, 1
