uid, timestamp, level
cgs_4de1902758d6f, 0, 10
cgs_4de1902758d6f, 0, 9
cgs_4de1902758d6f, 0, 8
cgs_4de1902758d6f, 0, 7
cgs_4de1902758d6f, 0, 6
cgs_4de1902758d6f, 0, 5
cgs_4de1902758d6f, 0, 4
cgs_4de1902758d6f, 0, 2
cgs_4de1902758d6f, 0, 1
cgs_4de47f0e2ed82, 0, 1
cgs_4de294c165ca0, 0, 3
cgs_4de32b905802d, 0, 8
cgs_4de28d2029715, 0, 1
cgs_4de28d2029715, 0, 1
cgs_4de1592bc24b5, 0, 7
cgs_4de1d39089892, 0, 1
cgs_4de1d39089892, 0, 1
cgs_4de1592bc24b5, 0, 6
cgs_4de1592bc24b5, 0, 5
cgs_4de18eddc0156, 0, 7
cgs_4de18eddc0156, 0, 6
cgs_4de1671992cef, 0, 6
cgs_4de1671992cef, 0, 6
cgs_4de1671992cef, 0, 3
cgs_4de1671992cef, 0, 3
cgs_4de1671992cef, 0, 2
cgs_4de1671992cef, 0, 1
cgs_4de1671992cef, 0, 1
cgs_4de1671992cef, 0, 1
cgs_4de1671992cef, 0, 1
cgs_4de1671992cef, 0, 1
cgs_4de156ce6d6ac, 0, 13
cgs_4de1592bc24b5, 0, 4
cgs_4de1592bc24b5, 0, 3
cgs_4de156ce6d6ac, 0, 12
cgs_4de06e32e3b9e, 0, 3
cgs_4de06e32e3b9e, 0, 2
cgs_4de06e32e3b9e, 0, 1
cgs_4ddf22072814e, 0, 2
cgs_4ddf22072814e, 0, 1
cgs_4dcc918a89cbb, 0, 2
cgs_4ddecd08df4bf, 0, 1
cgs_4dda85fb3fe4c, 0, 14
cgs_4dcc918a89cbb, 0, 1
cgs_4dddcb1f15991, 0, 1
cgs_4dddcb1f15991, 0, 1
cgs_4dddcb1f15991, 0, 1
cgs_4dda9f532e3cf, 0, 14
cgs_4ddd67bfad23d, 0, 15
cgs_4ddd67bfad23d, 0, 14
cgs_4ddd67bfad23d, 0, 13
cgs_4ddd67bfad23d, 0, 12
cgs_4ddd67bfad23d, 0, 11
cgs_4ddd67bfad23d, 0, 9
cgs_4ddd67bfad23d, 0, 8
cgs_4ddd67bfad23d, 0, 7
cgs_4ddd67bfad23d, 0, 5
cgs_4ddd67bfad23d, 0, 4
cgs_4dcc9522172c1, 0, 14
cgs_4dcc9522172c1, 0, 14
cgs_4dcc9522172c1, 0, 14
cgs_4dcc9522172c1, 0, 14
cgs_4dcc9522172c1, 0, 12
cgs_4dd17b9063c2c, 0, 13
cgs_4ddb3a17508d0, 0, 10
cgs_4ddb3a17508d0, 0, 9
cgs_4ddb3a17508d0, 0, 8
cgs_4ddb3a17508d0, 0, 6
cgs_4dce36741f171, 0, 14
cgs_4ddabda70b63d, 0, 3
cgs_4ddabda70b63d, 0, 2
cgs_4ddabda70b63d, 0, 1
cgs_4dce36741f171, 0, 13
cgs_4dce36741f171, 0, 12
cgs_4dce36741f171, 0, 11
cgs_4dce36741f171, 0, 10
cgs_4dce36741f171, 0, 9
cgs_4dce36741f171, 0, 8
cgs_4dce36741f171, 0, 7
cgs_4dd974d7a48e7, 0, 7
cgs_4dce36741f171, 0, 6
cgs_4dce36741f171, 0, 5
cgs_4ddae3a3ea304, 0, 11
cgs_4ddae3a3ea304, 0, 10
cgs_4ddc1daa9898e, 0, 5
cgs_4ddc1daa9898e, 0, 4
cgs_4ddc0ca8c99c4, 0, 14
cgs_4ddc1daa9898e, 0, 3
cgs_4ddc1daa9898e, 0, 2
cgs_4ddc1daa9898e, 0, 2
cgs_4ddc1daa9898e, 0, 1
cgs_4ddc0ca8c99c4, 0, 13
cgs_4ddac9f8c16e4, 0, 15
cgs_4ddae3a3ea304, 0, 9
cgs_4ddae3a3ea304, 0, 8
cgs_4dce36741f171, 0, 4
cgs_4dce36741f171, 0, 3
cgs_4ddac9f8c16e4, 0, 15
cgs_4dce36741f171, 0, 2
cgs_4dce36741f171, 0, 1
cgs_4dda9f532e3cf, 0, 12
cgs_4dda9f532e3cf, 0, 11
cgs_4dda9f532e3cf, 0, 10
